id field ra dec z lmass uv vj
920.0 AEGIS 215.09733582 52.92080307 0.8606 10.4 1.9068980399918063 1.4704236155516903
921.0 AEGIS 215.19154358 52.98751068 2.5486 10.22 0.6147305708237117 0.6544676029458231
925.0 AEGIS 215.28128052 53.04990387 1.2043 9.91 1.2593145285867458 1.1818865460965597
927.0 AEGIS 215.03611755 52.87839127 1.682 10.47 1.0972690002340935 1.2046766361485144
928.0 AEGIS 215.27662659 53.04679108 1.978 10.1 0.9315803818702245 0.6515551375501517
937.0 AEGIS 215.09999084 52.92351532 1.4925 9.85 0.9125649116385742 0.7587214371808144
954.0 AEGIS 215.06881714 52.90220642 2.4503 9.48 0.9809662147769987 -0.18185606313906258
960.0 AEGIS 215.16465759 52.96874237 1.6692 9.6 0.7324006525201575 0.35361821678981326
982.0 AEGIS 215.11152649 52.93099213 1.6983 10.54 1.4282011521478664 1.1543307017744644
983.0 AEGIS 214.99932861 52.85267639 1.592 10.21 0.8985831931061262 0.6941969035561539
985.0 AEGIS 215.2361908 53.01932144 1.6776 10.62 1.826947206550647 1.6850744795580341
988.0 AEGIS 215.03097534 52.87443161 0.5576 9.49 0.8087288230982301 0.6470961635276952
989.0 AEGIS 215.28660583 53.05462646 1.1377 9.66 0.7409343587657911 0.5804524323931142
990.0 AEGIS 215.24591064 53.02634811 2.3077 10.62 1.616526407120705 0.8647577108509673
992.0 AEGIS 214.9453125 52.8144722 1.0023 9.96 1.4421104044532256 2.048247490845286
997.0 AEGIS 215.0289917 52.87314224 1.6112 10.84 1.6958557432852925 1.095011369559669
998.0 AEGIS 215.27708435 53.04701233 1.4505 10.67 1.2970137638034884 1.4216778322230772
1006.0 AEGIS 215.175354 52.97654724 1.5565 10.63 1.1818244412517969 1.8016420058211957
1007.0 AEGIS 215.22776794 53.01361465 2.3876 10.87 1.4632310437291154 1.4275081717287985
1012.0 AEGIS 215.2205658 53.00947571 2.3924 9.64 0.6925681080170922 1.2820757341210243
1016.0 AEGIS 215.17559814 52.97664642 2.0275 10.02 0.7721800374078962 0.6173035058746239
1024.0 AEGIS 215.20909119 53.00107193 2.5209 9.91 0.7063894315001923 0.2325327491752749
1025.0 AEGIS 215.11221313 52.93160629 1.3742 10.37 0.9624296960100885 0.8090609063582022
1061.0 AEGIS 215.10302734 52.92520142 1.0419 10.89 2.1073666540826244 1.3953237474980829
1063.0 AEGIS 215.2086792 53.00115585 2.5458 9.47 0.6321414490551615 0.3512358588494513
1065.0 AEGIS 215.28063965 53.05183029 2.0338 9.71 0.6308163337246073 0.8966700491631152
1071.0 AEGIS 215.2794342 53.04964447 1.5994 10.64 1.5391324238275255 1.5407869283600786
1077.0 AEGIS 215.229599 53.01554871 2.1751 9.89 0.748092655739907 0.36483707001704935
1079.0 AEGIS 215.10809326 52.92945862 1.8712 9.66 0.5577820388724242 0.26288876647168824
1081.0 AEGIS 215.16130066 52.96711349 0.6999 9.53 1.281406974260991 0.914834015527795
1084.0 AEGIS 215.12585449 52.94258881 1.3961 10.23 1.7133888117813223 1.1348281457434863
1090.0 AEGIS 215.09146118 52.91876602 1.5897 9.65 0.8629268926712166 0.5544958303742038
1097.0 AEGIS 215.25961304 53.03488541 0.655 10.5 1.8336085293789548 1.323241810715955
1102.0 AEGIS 215.2407074 53.02380371 2.019 9.8 0.8342373385912748 0.678881162051455
1109.0 AEGIS 215.2664032 53.04174423 1.8064 10.17 1.2042645964110328 1.1251866266981865
1115.0 AEGIS 215.2333374 53.01741791 1.5081 10.71 1.7549724832763978 1.3479313963282238
1127.0 AEGIS 214.90359497 52.78481293 1.6301 10.96 1.6239309259961172 0.899296830617654
1128.0 AEGIS 215.02713013 52.87284088 1.7593 10.47 1.47847250038306 1.246372465173988
1138.0 AEGIS 215.15280151 52.96153641 1.8385 9.59 0.5369027991946922 0.21788283544936363
1162.0 AEGIS 215.26071167 53.03674316 1.5551 10.61 1.5407605002259641 0.9366699028809726
1166.0 AEGIS 215.04785156 52.88774872 1.3302 9.47 0.6944484099513812 0.3186575078254023
1167.0 AEGIS 215.22840881 53.01588821 2.3467 9.9 1.6779963418017863 1.1716955336427655
1168.0 AEGIS 215.25447083 53.0319519 0.6987 10.25 1.818024976565145 1.6762602076717037
1173.0 AEGIS 215.03318787 52.8776741 1.409 9.84 1.0081611121914653 1.0878503175346843
1181.0 AEGIS 214.97328186 52.83385468 0.8512 10.8 1.9118200259562188 1.4874701337614291
1189.0 AEGIS 215.20159912 52.99698639 2.5153 9.74 0.5757438361859628 0.7952483218940085
1193.0 AEGIS 215.06416321 52.89938736 2.4131 10.16 0.8651777307961102 0.4778789339533558
1203.0 AEGIS 214.85137939 52.74935913 2.2171 10.19 2.3585581061462046 0.6250470402009527
1205.0 AEGIS 215.14030457 52.95255661 1.1639 9.82 0.645894111477851 0.5377610469693431
1206.0 AEGIS 215.10733032 52.93066025 2.1414 9.54 0.792045939634276 0.2752988778739839
1221.0 AEGIS 215.23132324 53.01715851 1.4134 9.71 0.6376389692908031 0.44497485355426825
1228.0 AEGIS 215.27746582 53.0472641 0.6346 10.02 1.5293919933468556 1.8390336020949043
1229.0 AEGIS 215.17362976 52.97648239 1.078 9.44 0.7182866790420671 0.7264746255537963
1245.0 AEGIS 215.16563416 52.97197723 2.5075 10.26 1.6084790345126625 0.9192439380639327
1255.0 AEGIS 215.11712646 52.93783188 2.5049 10.2 1.1822431762338559 0.3168888430781809
1257.0 AEGIS 215.1746521 52.97756195 1.7651 9.48 0.7568426883635457 0.4169725816514198
1266.0 AEGIS 214.97381592 52.83670044 1.6906 9.53 0.7616650624081417 0.7062069760344601
1273.0 AEGIS 215.21896362 53.00974655 2.5498 9.81 0.8844190748184431 0.7296296500537524
1275.0 AEGIS 215.05917358 52.89686584 1.6516 10.14 1.3133448097911242 1.2149143563244942
1292.0 AEGIS 214.90663147 52.78753662 0.6699 10.52 1.3703207505575463 1.2064982267035784
1298.0 AEGIS 215.28065491 53.05233765 2.077 10.4 1.5924272747753032 1.177663945457694
1306.0 AEGIS 215.27763367 53.05003357 1.3023 10.66 2.056507946431398 1.4467944770717713
1311.0 AEGIS 215.11334229 52.93522263 2.3359 9.75 0.6372480398812306 0.44480327689285626
1328.0 AEGIS 215.26071167 53.03905869 2.1605 9.82 0.5231135189629534 0.8755341702209449
1364.0 AEGIS 215.05586243 52.89430237 1.6708 9.66 0.6947518932943254 0.38273687341796925
1376.0 AEGIS 214.98962402 52.84823608 1.5297 9.57 0.7758329968539639 0.7248522776847763
