id field z lmass nth
37592.0 AEGIS 1.9723 11.04 7.800938864718915e-06
37662.0 AEGIS 0.7931 11.11 5.395000870376565e-06
37919.0 AEGIS 1.3828 11.01 1.0159146796599431e-05
38065.0 AEGIS 1.1867 11.28 5.284299114567188e-06
38130.0 AEGIS 1.2185 11.17 1.7969723511956927e-05
38167.0 AEGIS 1.4348 11.05 5.153955909402152e-06
38174.0 AEGIS 1.6225 11.02 0.0001357220942147052
38187.0 AEGIS 2.1336 11.51 1.3878006443032627e-05
38285.0 AEGIS 0.6939 11.1 4.021175203382229e-06
38290.0 AEGIS 1.7711 11.01 8.720195480069699e-06
38523.0 AEGIS 0.8169 11.05 1.6866304423680004e-06
38822.0 AEGIS 0.8337 11.13 2.2818238913773852e-06
39028.0 AEGIS 1.5959 11.14 3.3414892269096297e-06
39239.0 AEGIS 1.5482 11.16 3.895585457161815e-06
40470.0 AEGIS 1.5942 11.1 1.8968309308814017e-05
40980.0 AEGIS 2.4435 11.15 1.5151320007089837e-05
4536.0 COSMOS 1.801 11.17 1.718769461811156e-05
4596.0 COSMOS 0.7199 11.09 1.5284247928535498e-05
5473.0 COSMOS 2.2406 11.0 6.101822618191112e-06
5712.0 COSMOS 0.7598 11.03 2.3572280712513727e-05
9111.0 COSMOS 1.2138 11.37 4.683605545222394e-06
9667.0 COSMOS 1.5391 11.23 4.40748611824841e-06
11314.0 COSMOS 2.3414 11.27 4.989805938319853e-06
11337.0 COSMOS 2.1888 11.23 8.914756006852653e-06
11363.0 COSMOS 2.1158 11.07 7.5127169108245085e-06
11871.0 COSMOS 1.4974 11.5 7.553018979572039e-05
11973.0 COSMOS 1.6075 11.19 1.7015352800634432e-05
12767.0 COSMOS 1.1172 11.01 6.722132592985006e-06
13174.0 COSMOS 2.0895 11.03 4.67123786107835e-06
13524.0 COSMOS 0.5963 11.09 1.3534147253120685e-05
13837.0 COSMOS 0.8326 11.07 1.433446057127523e-05
13903.0 COSMOS 0.6131 11.0 9.681028604924047e-06
15066.0 COSMOS 1.4391 11.29 9.172428873523624e-06
18575.0 COSMOS 1.0068 11.07 3.4624525252695017e-06
18688.0 COSMOS 1.9094 11.12 8.552437013785313e-06
19090.0 COSMOS 2.4545 11.15 9.15668341103463e-05
19134.0 COSMOS 2.3853 11.0 4.262348467562842e-05
19153.0 COSMOS 2.2687 11.05 8.495261178885367e-06
20565.0 COSMOS 0.8878 11.01 1.0502972563988822e-05
20839.0 COSMOS 0.8735 11.05 1.2882426432311462e-05
20983.0 COSMOS 1.967 11.07 4.9558410412046865e-06
25534.0 COSMOS 1.5462 11.01 5.67536794333077e-05
25581.0 COSMOS 1.8599 11.31 2.787679559690036e-06
26338.0 COSMOS 2.28 11.34 2.2907028087090813e-06
27723.0 COSMOS 0.9684 11.08 1.0570276963856853e-05
28492.0 COSMOS 1.8389 11.0 2.210668719182043e-06
28546.0 COSMOS 2.0243 11.23 1.019207769562339e-05
28565.0 COSMOS 2.0661 11.4 4.9379789913689215e-06
28772.0 COSMOS 0.7113 11.27 9.298457517876935e-06
3776.0 GOODS-N 2.1218 11.0 3.898537857198874e-06
4117.0 GOODS-N 1.6189 11.37 6.5771906157984216e-06
4711.0 GOODS-N 1.2323 11.04 1.4829098599934275e-05
4854.0 GOODS-N 2.2112 11.05 1.4325342453947257e-05
4927.0 GOODS-N 2.2172 11.12 9.808956199728035e-06
5346.0 GOODS-N 2.3363 11.55 3.0204444889369723e-05
5371.0 GOODS-N 2.2169 11.36 1.2266347773849719e-05
5507.0 GOODS-N 2.2973 11.1 2.7580897199450825e-05
5677.0 GOODS-N 2.1426 11.27 1.3375523377150585e-05
5932.0 GOODS-N 1.8962 11.24 2.784901932371669e-06
6215.0 GOODS-N 2.2727 11.2 1.856679809773167e-05
6789.0 GOODS-N 2.2157 11.36 1.0361062951226874e-05
6877.0 GOODS-N 2.0937 11.04 5.95458319916746e-06
7372.0 GOODS-N 1.3549 11.03 1.3627898990321735e-05
8713.0 GOODS-N 0.8822 11.09 1.7376283179734335e-05
9056.0 GOODS-N 1.0825 11.15 5.049354212829034e-06
9122.0 GOODS-N 2.2542 11.11 1.2030470632959343e-05
9441.0 GOODS-N 0.8715 11.0 1.5848338581672273e-05
9623.0 GOODS-N 0.988 11.42 5.49776487210992e-05
9692.0 GOODS-N 1.6764 11.26 1.930645394263935e-05
10125.0 GOODS-N 2.4511 11.18 7.08220710943102e-06
10280.0 GOODS-N 1.1114 11.17 1.0598098579565029e-05
10311.0 GOODS-N 1.5551 11.2 1.3574390692718846e-05
10606.0 GOODS-N 1.3668 11.13 1.0219802852364517e-05
10657.0 GOODS-N 2.2192 11.68 6.081732514284566e-06
11064.0 GOODS-N 2.1093 11.15 2.679620391320628e-06
11706.0 GOODS-N 1.2313 11.19 9.634740435081462e-06
11826.0 GOODS-N 1.3337 11.1 3.869286680497707e-06
11932.0 GOODS-N 0.8517 11.25 4.318519227727775e-05
12066.0 GOODS-N 2.2639 11.01 8.863621583593332e-05
12302.0 GOODS-N 2.1946 11.22 9.691171598453003e-05
12342.0 GOODS-N 1.0363 11.01 1.4231499005678304e-05
12343.0 GOODS-N 0.6562 11.38 3.906361305277668e-06
12561.0 GOODS-N 1.0265 11.01 2.0040319897295673e-05
13530.0 GOODS-N 0.8473 11.29 9.54527959216694e-06
13971.0 GOODS-N 0.9992 11.14 1.6072112385819578e-05
14140.0 GOODS-N 1.694 11.03 1.160069965724923e-05
14532.0 GOODS-N 1.6131 11.2 1.689081430576386e-05
15872.0 GOODS-N 0.9526 11.39 1.433696818203519e-05
16129.0 GOODS-N 2.192 11.07 8.74943167129987e-06
16827.0 GOODS-N 1.9664 11.21 6.735076889701655e-06
16879.0 GOODS-N 2.2872 11.22 5.745640746782359e-06
17270.0 GOODS-N 1.1839 11.03 4.26813792389188e-06
17952.0 GOODS-N 0.8322 11.07 1.909859317997405e-05
18633.0 GOODS-N 1.6522 11.06 1.3549805948672646e-05
18879.0 GOODS-N 0.9511 11.03 9.427524621404788e-06
19082.0 GOODS-N 2.4296 11.09 5.993167779528122e-06
19290.0 GOODS-N 0.6655 11.23 5.45671894932084e-06
19680.0 GOODS-N 0.9629 11.2 5.893969040239549e-06
19913.0 GOODS-N 1.9111 11.57 7.310701393690046e-06
20052.0 GOODS-N 2.3802 11.1 5.713605196585711e-06
20317.0 GOODS-N 2.4658 11.08 5.761089441784507e-06
