id field z lmass uv vj densityrr1 densitybr1 densityrr2 densitybr2 densityrr3 densitybr3 densityrr4 densitybr4 densityrr5 densitybr5 densityrr6 densitybr6 densityrr7 densitybr7 densityrr8 densitybr8 densityrr9 densitybr9 densityrr10 densitybr10 densityrr11 densitybr11 densityrr12 densitybr12 densityrr13 densitybr13 randrr1 randbr1 randrr2 randbr2 randrr3 randbr3 randrr4 randbr4 randrr5 randbr5 randrr6 randbr6 randrr7 randbr7 randrr8 randbr8 randrr9 randbr9 randrr10 randbr10 randrr11 randbr11 randrr12 randbr12 randrr13 randbr13
2957.0 AEGIS 2.4753 11.31 1.6064945912918682 1.293457702587542 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.1982331364816857e-06 3.183098861837907e-07 4.138028520389279e-06 3.801643444435037e-07 3.928364892582872e-06 3.5314102019403264e-07 3.7836537877932066e-06 4.016799210166341e-07 4.0770511983188364e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.783653787793206e-06 0.0 3.5146993088955413e-06 7.995582841204214e-07 2.798453994421475e-06 3.183098861837907e-07 2.3873241463784303e-06 2.851232583326278e-07 1.8374609981436013e-06 2.0179486868230435e-07 1.9674999696524674e-06 1.1548297729228231e-07 1.3807747284946797e-06
3106.0 AEGIS 1.6345 11.12 1.9147832960031999 1.1462154973835461 0.0012672144814783468 0.0 0.000504487171705762 0.0 0.00040167992101663405 0.0 0.0001599116568240845 0.0 6.366197723675813e-05 0.0 2.534428962956691e-05 0.0 1.0089743434115216e-05 0.0 4.016799210166333e-06 2.0083996050831666e-06 2.3986748523612645e-06 4.797349704722529e-06 2.228169203286535e-06 4.774648292756861e-06 1.9008217222175186e-06 7.349843992574405e-06 1.9674999696524674e-06 5.80160247461625e-06 1.1849557669990706e-06 4.699655075894619e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.504108611087593e-08 1.9008217222175186e-07 2.5224358585288046e-07 9.585256262409457e-07 4.4686891213100545e-07 1.6619506732063237e-06
3311.0 AEGIS 1.8535 11.33 1.8471036746425433 1.2370736520341905 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 0.0 1.5134615151172825e-05 0.0 1.0041998025415833e-05 1.5991165682408428e-06 6.396466272963371e-06 1.2732395447351628e-06 5.411268065124442e-06 1.1404930333305112e-06 4.688693581469879e-06 8.576281918997935e-07 3.934999939304935e-06 6.426878736266146e-07 3.896295233861351e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9988957103010535e-07 0.0 6.366197723675814e-07 1.5840181018479322e-07 6.652876027761315e-07 1.639583308043723e-07 9.080769090703696e-07 2.71133946686228e-07 1.375753729481972e-06
3654.0 AEGIS 0.6399 11.05 1.7811857311140047 1.4227691890904044 0.0 0.0 0.000504487171705762 0.0 0.00020083996050831703 0.0 7.995582841204225e-05 0.0001599116568240845 9.54929658551372e-05 9.54929658551372e-05 3.8016434444350364e-05 3.8016434444350364e-05 1.5134615151172825e-05 2.0179486868230432e-05 8.033598420332667e-06 1.4058797235582165e-05 3.997791420602107e-06 6.396466272963371e-06 2.864788975654116e-06 4.774648292756861e-06 2.5344289629566916e-06 5.322300822209052e-06 1.9674999696524674e-06 5.196217868569337e-06 1.4862157077615463e-06 3.5749512970480436e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 5.996687130903161e-07 1.1993374261806322e-06 5.570423008216338e-07 1.432394487827058e-06 9.187304990718006e-07 2.7878718592523605e-06 1.0215865227041657e-06 2.345865348431788e-06 7.029398617791097e-07 1.5916566870284127e-06
5016.0 AEGIS 1.9978 11.17 1.6262512287676179 1.5845804184696242 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0083996050831666e-06 0.0 7.995582841204215e-06 6.366197723675814e-07 8.91267681314614e-06 1.5206573777740149e-06 7.476565440722239e-06 1.210769212093826e-06 7.012371686710076e-06 6.226038775757829e-07 4.097135194369668e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.522435858528804e-06 1.0041998025415833e-06 1.0041998025415833e-06 3.997791420602107e-07 2.198785281331159e-06 1.5915494309189535e-07 1.5119719593730057e-06 3.4848398240654506e-07 1.488977015737056e-06 2.5224358585288046e-07 1.3747275428981985e-06 1.9581896149560912e-07 1.4008587245455114e-06
5465.0 AEGIS 0.5483 11.08 1.9976490633739654 1.4516374409772406 0.0012672144814783468 0.0 0.000504487171705762 0.0 0.00020083996050831703 0.00020083996050831703 7.995582841204225e-05 0.0001599116568240845 6.366197723675813e-05 9.54929658551372e-05 2.534428962956691e-05 3.8016434444350364e-05 1.0089743434115216e-05 1.5134615151172825e-05 1.0041998025415833e-05 1.4058797235582165e-05 3.997791420602107e-06 9.594699409445058e-06 3.183098861837907e-06 7.957747154594767e-06 2.1542646185131877e-06 6.0826295110960595e-06 1.664807666629011e-06 3.884551222134359e-06 7.029398617791097e-07 2.048567597184834e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.957747154594767e-06 0.0 3.168036203695864e-06 0.0 3.783653787793206e-06 3.783653787793206e-06 1.5062997038123749e-06 2.510499506353958e-06 9.994478551505268e-07 3.7979018495720017e-06 9.54929658551372e-07 3.7401411626595405e-06 7.603286888870074e-07 2.56610932499365e-06 6.558333232174892e-07 1.727868563092231e-06 3.866169239785103e-07 1.0694727897067884e-06
6115.0 AEGIS 1.372 11.09 2.1461615877877662 1.464749449008122 0.0 0.0 0.0 0.0 0.00020083996050831703 0.00020083996050831703 7.995582841204225e-05 7.995582841204225e-05 3.183098861837907e-05 6.366197723675813e-05 2.534428962956691e-05 3.8016434444350364e-05 1.0089743434115216e-05 2.0179486868230432e-05 4.016799210166333e-06 1.0041998025415833e-05 3.1982331364816857e-06 7.196024557083793e-06 3.5014087480216976e-06 6.684507609859605e-06 2.5344289629566916e-06 6.209350959243894e-06 1.715256383799587e-06 5.1457691513987614e-06 1.0644517906940804e-06 3.755707261505529e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.957747154594767e-06 0.0 3.168036203695864e-06 1.261217929264402e-06 1.261217929264402e-06 5.020999012707917e-07 3.5146993088955413e-06 3.997791420602107e-07 3.7979018495720017e-06 5.570423008216338e-07 2.6260565610162732e-06 6.969679648130901e-07 3.0729951175849885e-06 5.927724267542691e-07 2.421538424187652e-06 3.4644893187684694e-07 1.7975176465494377e-06
6234.0 AEGIS 1.1098 11.05 1.8561509855319929 1.243102020665153 0.0 0.0 0.0 0.0 0.00020083996050831703 0.0 7.995582841204225e-05 0.0 3.183098861837907e-05 0.0 3.8016434444350364e-05 2.534428962956691e-05 1.5134615151172825e-05 1.0089743434115216e-05 8.033598420332667e-06 1.0041998025415833e-05 3.997791420602107e-06 5.59690798884295e-06 2.5464790894703256e-06 4.45633840657307e-06 1.3939359296261802e-06 4.815415029617714e-06 1.1098717777526739e-06 4.792628131204728e-06 7.230238578299415e-07 2.9322634234214292e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 5.020999012707917e-07 1.9988957103010535e-07 3.997791420602107e-07 3.183098861837907e-07 1.432394487827058e-06 4.43525068517421e-07 1.5840181018479322e-06 3.405288409013886e-07 1.715256383799587e-06 5.623518894232877e-07 1.8176016426002694e-06
6262.0 AEGIS 1.901 11.27 1.3892736735245355 1.7474503422079812 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 0.0 2.0083996050831666e-06 7.995582841204214e-07 1.5991165682408428e-06 6.366197723675814e-07 1.2732395447351628e-06 7.603286888870074e-07 3.4214790999915332e-06 7.062820403880653e-07 4.540384545351848e-06 5.221838973216243e-07 3.4544473207430533e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 0.0 2.522435858528804e-06 0.0 1.5062997038123749e-06 3.997791420602107e-07 1.1993374261806322e-06 3.183098861837907e-07 1.8302818455567964e-06 5.068857925913383e-07 2.2493057046240635e-06 4.2881409594989675e-07 2.38370188630972e-06 2.460289516226884e-07 1.626803680117368e-06
6424.0 AEGIS 1.1622 11.38 2.1901682937380387 1.4523871848046372 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.183098861837907e-05 0.0 2.534428962956691e-05 1.0089743434115216e-05 1.5134615151172825e-05 6.0251988152494995e-06 1.4058797235582165e-05 4.797349704722529e-06 9.594699409445058e-06 4.138028520389279e-06 8.594366926962348e-06 2.5344289629566916e-06 6.716236751835232e-06 1.664807666629011e-06 6.205192211980859e-06 1.084535786744912e-06 3.815959249658024e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 2.0083996050831666e-06 5.996687130903161e-07 1.5991165682408428e-06 3.978873577297384e-07 1.5119719593730057e-06 3.801643444435037e-07 1.1721733953674697e-06 3.5314102019403264e-07 1.0468108812894539e-06 2.811759447116439e-07 9.690528094526298e-07
