id field z lmass radius1 radius2 radius3 radius4 radius5 radius6 radius7 radius8 radius9 radius10 radius11 radius12 radius13 rand1 rand2 rand3 rand4 rand5 rand6 rand7 rand8 rand9 rand10 rand11 rand12 rand13
2957.0 AEGIS 2.4753 11.31 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.1982331364816857e-06 4.45633840657307e-06 4.308529237026375e-06 4.136794807987239e-06 4.478731119335471e-06 0.0 0.0 0.0 0.0 1.5915494309189534e-05 1.2672144814783456e-05 5.044871717057608e-06 4.016799210166333e-06 0.0 8.594366926962348e-06 3.009634393511071e-06 3.1278204645757173e-06 4.1172191904205e-06
3106.0 AEGIS 1.6345 11.12 0.0012672144814783468 0.000504487171705762 0.00040167992101663405 0.0001599116568240845 6.366197723675813e-05 2.534428962956691e-05 1.0089743434115216e-05 6.0251988152494995e-06 7.196024557083793e-06 7.002817496043395e-06 9.250665714791924e-06 7.668205009927566e-06 5.844442850792026e-06 0.0 0.0 0.0 0.0 0.0 9.504108611087591e-06 6.30608964632201e-06 5.020999012707916e-06 7.995582841204215e-06 6.2866202521298665e-06 1.3875998572187885e-05 4.616057621107712e-06 5.015978013695219e-06
3311.0 AEGIS 1.8535 11.33 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 1.5134615151172825e-05 1.0041998025415833e-05 7.995582841204215e-06 6.684507609859605e-06 5.82918661480039e-06 4.792628131204728e-06 4.478731119335471e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 0.0 1.5062997038123749e-06 7.196024557083793e-06 6.923240024497448e-06 1.9008217222175186e-07 2.4719871413582285e-06 3.218460367145781e-06
3654.0 AEGIS 0.6399 11.05 0.0 0.000504487171705762 0.00020083996050831703 0.00023986748523612678 0.0001909859317102744 7.603286888870073e-05 3.5314102019403255e-05 2.0083996050831665e-05 9.594699409445058e-06 7.321127382227186e-06 7.730008337017909e-06 6.9619229695395e-06 4.9205790324537675e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 3.783653787793206e-06 1.5062997038123749e-06 2.5985644233913697e-06 1.1061268544886726e-05 3.7382827203611196e-06 3.1782691817462937e-06 1.1498087739101152e-06
5016.0 AEGIS 1.9978 11.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0083996050831666e-06 7.995582841204215e-06 9.549296585513721e-06 8.997222818496254e-06 8.172692181633326e-06 4.699655075894619e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 2.522435858528804e-06 5.020999012707916e-06 1.9988957103010537e-06 5.650000479762285e-06 1.235534119441387e-06 3.6323076362814785e-06 1.8226226416129774e-06
5465.0 AEGIS 0.5483 11.08 0.0012672144814783468 0.000504487171705762 0.00040167992101663405 0.00023986748523612678 0.00015915494309189535 6.336072407391728e-05 2.522435858528804e-05 2.4100795260997998e-05 1.3592490830047164e-05 1.1140846016432674e-05 8.236894129609247e-06 5.498910171592794e-06 2.731423462913112e-06 0.0 0.0 0.0 0.0 7.957747154594767e-06 3.168036203695864e-06 0.0 5.020999012707917e-07 1.7990061392709482e-06 4.45633840657307e-06 2.5344289629566916e-06 2.875576878722837e-06 2.465310515239592e-06
6115.0 AEGIS 1.372 11.09 0.0 0.0 0.00040167992101663405 0.0001599116568240845 9.54929658551372e-05 6.336072407391728e-05 3.026923030234565e-05 1.4058797235582165e-05 1.0394257693565479e-05 9.867606471697512e-06 8.61705847405275e-06 6.760128100857196e-06 4.779991060097946e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5062997038123749e-06 2.3986748523612645e-06 1.5119719593730057e-06 4.752054305543796e-06 3.0773717474051414e-06 2.7615494569893595e-06
6234.0 AEGIS 1.1098 11.05 0.0 0.0 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 6.336072407391728e-05 2.522435858528804e-05 1.80755964457485e-05 9.594699409445058e-06 7.002817496043395e-06 6.209350959243894e-06 5.80160247461625e-06 3.5950352930988753e-06 0.0 0.0 0.0 0.0 7.957747154594767e-06 0.0 1.261217929264402e-06 2.0083996050831666e-06 9.994478551505268e-07 6.366197723675814e-06 5.480702632393845e-06 4.931362103423812e-06 2.7464864599512358e-06
6262.0 AEGIS 1.901 11.27 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 2.0083996050831666e-06 2.3986748523612645e-06 1.909859317102744e-06 4.181807788878541e-06 5.246666585739913e-06 3.936463225963014e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 2.522435858528804e-06 3.0125994076247497e-06 2.798453994421475e-06 1.1140846016432675e-06 2.661150411104526e-06 4.073733911524019e-06 2.5657304954937504e-06
6424.0 AEGIS 1.1622 11.38 0.0 0.0 0.0 0.0 3.183098861837907e-05 2.534428962956691e-05 2.522435858528804e-05 2.0083996050831665e-05 1.4392049114167586e-05 1.2732395447351628e-05 9.250665714791924e-06 7.769102444268718e-06 4.820159052199609e-06 0.0 0.0 0.0 0.0 0.0 9.504108611087591e-06 3.783653787793206e-06 5.523098913978708e-06 1.2393153403866532e-05 6.8436625529515e-06 7.191442182389612e-06 7.832163340731937e-06 3.640224284213247e-06
